,Type,Fund,Institution,City,State,Country,Grant,Purpose,year,currency,grant_sum,conversion_rate,usd
0,Social Services,Successor Organization,COA Sydney Incorporated,Sydney,,Australia,"AUD 155,000",Toward meals-on-wheels for vulnerable Jewish Nazi victims,2017,AUD,155000,1.305,118773.94636015326
1,Social Services,German Government,JewishCare NSW,Sydney,,Australia,"AUD 3,183,837",Toward social welfare services for vulnerable Jewish Nazi victims,2017,AUD,3183837,1.305,2439721.83908046
2,Social Services,German Government,JewishCare Victoria,Melbourne,,Australia,"AUD 12,089,139",Toward social welfare services for vulnerable Jewish Nazi victims,2017,AUD,12089139,1.305,9263708.045977011
3,Social Services,Successor Organization,Bikur Cholim Jewish Volunteer Services of Toronto,Toronto,ON,Canada,"CAD 36,900",Toward social welfare services for vulnerable Jewish Nazi victims,2017,CAD,36900,1.298,28428.351309707243
4,Social Services,Successor Organization,B'nai Brith Canada,Toronto,ON,Canada,"CAD 6,825",Toward the Café Europa program for Jewish Nazi victims,2017,CAD,6825,1.298,5258.089368258859
5,Social Services,German Government,Circle of Care,Toronto,ON,Canada,"CAD 12,075,375",Toward social welfare services for vulnerable Jewish Nazi victims,2017,CAD,12075375,1.298,9303062.403697997
6,Social Services,German Government,Cummings Jewish Centre for Seniors,Montreal,QC,Canada,"CAD 9,894,866",Toward social welfare services for vulnerable Jewish Nazi victims,2017,CAD,9894866,1.298,7623163.328197226
7,Social Services,Successor Organization,Jewish Child and Family Service - Winnipeg,Winnipeg,MB,Canada,"CAD 4,750",Toward the Café Europa program for Jewish Nazi victims,2017,CAD,4750,1.298,3659.4761171032355
8,Social Services,Successor Organization,Jewish Family & Child Service,Toronto,ON,Canada,"CAD 116,000",Toward  socialization program and the provision of case management for vulnerable Jewish Nazi victims,2017,CAD,116000,1.298,89368.25885978428
9,Social Services,German Government,Jewish Family Service Agency,Vancouver,BC,Canada,"CAD 384,316",Toward social welfare services for vulnerable Jewish Nazi victims,2017,CAD,384316,1.298,296083.2049306625
10,Social Services,Successor Organization,Jewish Family Service Agency,Vancouver,BC,Canada,"CAD 107,108",Toward social welfare services for vulnerable Jewish Nazi victims,2017,CAD,107108,1.298,82517.71956856703
11,Social Services,German Government,Jewish Family Services,Edmonton,AB,Canada,"CAD 1,500,157",Toward social welfare services for vulnerable Jewish Nazi victims,2017,CAD,1500157,1.298,1155744.9922958398
12,Social Services,German Government,Jewish Family Services of Ottawa,Ottawa,ON,Canada,"CAD 344,080",Toward social welfare services for vulnerable Jewish Nazi victims,2017,CAD,344080,1.298,265084.74576271186
13,"Education, Documentation and Research",Successor Organization,Lost Rhapsody Productions Inc.,Toronto,ON,Canada,"CAD 7,143",Toward the post-production of Rhapsody: The Liberation of Leo Spellman,2017,CAD,7143,1.298,5503.081664098613
14,Social Services,Successor Organization,Vancouver Holocaust Education Centre,Vancouver,BC,Canada,"CAD 23,229",Toward  socialization program and the provision of case management for vulnerable Jewish Nazi victims,2017,CAD,23229,1.298,17895.9938366718
15,Social Services,German Government,Association D'Aide Aux Israelites Ages Et Malades (ADIAM) Solidarité,Paris,,France," €1,745,508",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,1745508,0.887,1967878.2412626832
16,Social Services,United Restitution Organization,Association D'Aide Aux Israelites Ages Et Malades (ADIAM) Solidarité,Paris,,France," €11,710",Toward on-going social assistance or emergency short-term grants in the Paris metro area,2017,EUR,11710,0.887,13201.803833145434
17,Social Services,Successor Organization,Association of Children of the Holocaust in Poland,Warsaw,,Poland," €19,550",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,19550,0.887,22040.586245772265
18,Social Services,Successor Organization,Association of Holocaust Survivors in Croatia,Zagreb,,Croatia," €12,700",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,12700,0.887,14317.925591882751
19,Social Services,Successor Organization,Association of Holocaust Survivors in Sweden,Stockholm,,Sweden," €5,139",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,5139,0.887,5793.686583990981
20,Social Services,United Restitution Organization,Association of Jewish Refugees in Great Britain,London,,United Kingdom," €121,780",Toward on-going social assistance or emergency short-term grants in Europe (outside the United Kingdom and France),2017,EUR,121780,0.887,137294.25028184892
21,Social Services,United Restitution Organization,Association of Jewish Refugees in Great Britain,London,,United Kingdom," €187,354",Toward on-going social assistance or emergency short-term grants in the United Kingdom,2017,EUR,187354,0.887,211222.09695603157
22,Social Services,German Government,CASIM,Marseille,,France," €853,911",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,853911,0.887,962695.603156708
23,Social Services,Austrian Holocaust Survivors Emergency Assistance Program,CASIP - COJASOR,Paris,,France," €32,394",Toward emergency assistance services for vulnerable Jewish Austrian Nazi victims,2017,EUR,32394,0.887,36520.856820744084
24,Social Services,German Government,CASIP - COJASOR,Paris,,France," €1,281,269",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,1281269,0.887,1444497.1815107102
25,Social Services,Successor Organization,CASIP - COJASOR,Paris,,France," €408,682",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,408682,0.887,460746.3359639233
